Time,Symbol,Side,Entry,Target,Stop,Status,Exit,PNL%
2026-05-05 06:04:54.058481,ETHUSDT,LONG,2356.47,2368.2523499999998,2349.4005899999997,OPEN,,
2026-05-05 06:04:57.657120,BTCUSDT,SHORT,80126.41,79725.77795,80366.78923,OPEN,,
2026-05-05 06:05:09.148748,BNBUSDT,LONG,624.6,627.723,622.7262000000001,OPEN,,
2026-05-05 06:05:30.501263,TIAUSDT,LONG,0.3631,0.36491549999999995,0.36201069999999996,OPEN,,
2026-05-05 06:06:04.835226,SOLUSDT,LONG,84.25,84.67124999999999,83.99725,OPEN,,
2026-05-05 06:06:11.013004,DOGEUSDT,LONG,0.11073,0.11128364999999998,0.11039781,OPEN,,
2026-05-05 06:08:05.194860,TIAUSDT,LONG,0.3631,0.36491549999999995,0.36201069999999996,TP_HIT,0.365,0.52
2026-05-05 06:09:18.798857,ORDIUSDT,LONG,5.082,5.107409999999999,5.0667539999999995,OPEN,,
2026-05-05 06:15:26.275010,TIAUSDT,LONG,0.3665,0.36833249999999995,0.3654005,OPEN,,
2026-05-05 06:17:44.777162,ORDIUSDT,LONG,5.082,5.107409999999999,5.0667539999999995,TP_HIT,5.11,0.55
2026-05-05 06:18:14.475851,ORDIUSDT,LONG,5.104,5.129519999999999,5.088688,OPEN,,
2026-05-05 06:24:14.252428,TIAUSDT,LONG,0.3665,0.36833249999999995,0.3654005,TP_HIT,0.3688,0.63
2026-05-05 06:24:14.351551,TIAUSDT,LONG,0.3689,0.3707445,0.3677933,OPEN,,
2026-05-05 06:34:24.626042,TIAUSDT,LONG,0.3689,0.3707445,0.3677933,TP_HIT,0.3708,0.52
2026-05-05 06:35:30.122699,TIAUSDT,LONG,0.3707,0.3725534999999999,0.36958789999999997,OPEN,,
2026-05-05 06:36:33.526922,ORDIUSDT,LONG,5.104,5.129519999999999,5.088688,TP_HIT,5.13,0.51
2026-05-05 06:37:05.525387,ORDIUSDT,LONG,5.126,5.15163,5.110622,OPEN,,
2026-05-05 06:37:17.931337,DOGEUSDT,LONG,0.11073,0.11128364999999998,0.11039781,TP_HIT,0.11129,0.51
2026-05-05 06:37:18.317172,TIAUSDT,LONG,0.3707,0.3725534999999999,0.36958789999999997,TP_HIT,0.3726,0.51
2026-05-05 06:40:39.109307,TIAUSDT,SHORT,0.3722,0.370339,0.37331659999999994,OPEN,,
2026-05-05 06:44:17.599409,TIAUSDT,SHORT,0.3722,0.370339,0.37331659999999994,SL_HIT,0.3734,-0.32
2026-05-05 06:45:16.409719,DOGEUSDT,LONG,0.11102,0.11157509999999998,0.11068694,OPEN,,
2026-05-05 06:46:15.993568,TIAUSDT,LONG,0.3734,0.37526699999999996,0.3722798,OPEN,,
2026-05-05 06:46:52.099305,ORDIUSDT,LONG,5.126,5.15163,5.110622,TP_HIT,5.152,0.51
2026-05-05 06:47:18.898104,ORDIUSDT,SHORT,5.156,5.13022,5.171467999999999,OPEN,,
2026-05-05 06:48:31.042486,BTCUSDT,SHORT,80126.41,79725.77795,80366.78923,SL_HIT,80368.99,-0.30
2026-05-05 06:48:31.141240,BTCUSDT,LONG,80368.99,80770.83494999999,80127.88303000001,OPEN,,
2026-05-05 06:48:42.587246,TIAUSDT,LONG,0.3734,0.37526699999999996,0.3722798,SL_HIT,0.3722,-0.32
2026-05-05 06:53:11.774863,TIAUSDT,LONG,0.3729,0.37476449999999994,0.3717813,OPEN,,
2026-05-05 06:53:14.482533,ORDIUSDT,SHORT,5.156,5.13022,5.171467999999999,TP_HIT,5.13,0.50
2026-05-05 07:03:37.249299,TIAUSDT,LONG,0.3729,0.37476449999999994,0.3717813,TP_HIT,0.3748,0.51
2026-05-05 07:04:12.047066,TIAUSDT,LONG,0.3757,0.37757849999999993,0.3745729,OPEN,,
2026-05-05 07:04:46.324994,ETHUSDT,LONG,2356.47,2368.2523499999998,2349.4005899999997,TP_HIT,2368.86,0.53
2026-05-05 07:04:46.498914,ETHUSDT,LONG,2369.15,2380.99575,2362.04255,OPEN,,
2026-05-05 07:06:40.940405,TIAUSDT,LONG,0.3757,0.37757849999999993,0.3745729,SL_HIT,0.3745,-0.32
2026-05-05 07:06:57.239297,TIAUSDT,LONG,0.3743,0.3761715,0.37317710000000004,OPEN,,
2026-05-05 07:09:17.541015,ORDIUSDT,LONG,5.137,5.162684999999999,5.121588999999999,OPEN,,
2026-05-05 07:09:58.631420,TIAUSDT,LONG,0.3743,0.3761715,0.37317710000000004,TP_HIT,0.3762,0.51
2026-05-05 07:09:58.830580,TIAUSDT,LONG,0.376,0.37787999999999994,0.374872,OPEN,,
2026-05-05 07:25:08.590049,TIAUSDT,LONG,0.376,0.37787999999999994,0.374872,TP_HIT,0.3779,0.51
2026-05-05 07:28:44.180535,TIAUSDT,LONG,0.3782,0.38009099999999996,0.3770654,OPEN,,
2026-05-05 07:32:04.872488,TIAUSDT,LONG,0.3782,0.38009099999999996,0.3770654,TP_HIT,0.3801,0.50
2026-05-05 07:34:53.064380,TIAUSDT,LONG,0.3787,0.3805934999999999,0.3775639,OPEN,,
2026-05-05 07:36:39.727725,SOLUSDT,LONG,84.25,84.67124999999999,83.99725,TP_HIT,84.69,0.52
2026-05-05 07:39:32.270892,DOGEUSDT,LONG,0.11102,0.11157509999999998,0.11068694,TP_HIT,0.11158,0.50
2026-05-05 07:39:32.868286,DOGEUSDT,LONG,0.11162,0.11217809999999999,0.11128513999999999,OPEN,,
2026-05-05 07:40:02.653016,TIAUSDT,LONG,0.3787,0.3805934999999999,0.3775639,SL_HIT,0.3774,-0.34
2026-05-05 07:40:26.085175,SOLUSDT,SHORT,84.66,84.2367,84.91397999999998,OPEN,,
2026-05-05 07:40:30.158083,ORDIUSDT,LONG,5.137,5.162684999999999,5.121588999999999,SL_HIT,5.12,-0.33
2026-05-05 07:43:14.943359,TIAUSDT,LONG,0.373,0.37486499999999995,0.371881,OPEN,,
2026-05-05 07:44:10.518140,BTCUSDT,LONG,80368.99,80770.83494999999,80127.88303000001,TP_HIT,80796.53,0.53
2026-05-05 07:44:10.793782,BTCUSDT,LONG,80797.67,81201.65834999998,80555.27699,OPEN,,
2026-05-05 07:46:21.033825,TIAUSDT,LONG,0.373,0.37486499999999995,0.371881,SL_HIT,0.3718,-0.32
2026-05-05 07:46:34.648110,DOGEUSDT,LONG,0.11162,0.11217809999999999,0.11128513999999999,SL_HIT,0.11128,-0.30
2026-05-05 07:47:02.231912,TIAUSDT,SHORT,0.3706,0.368747,0.3717117999999999,OPEN,,
2026-05-05 07:47:03.046174,DOGEUSDT,SHORT,0.11122,0.1106639,0.11155365999999999,OPEN,,
2026-05-05 07:47:29.431892,TIAUSDT,SHORT,0.3706,0.368747,0.3717117999999999,TP_HIT,0.3683,0.62
2026-05-05 07:47:29.531160,TIAUSDT,LONG,0.3682,0.370041,0.3670954,OPEN,,
2026-05-05 07:49:48.979487,BTCUSDT,LONG,80797.67,81201.65834999998,80555.27699,SL_HIT,80549.66,-0.31
2026-05-05 07:49:49.078379,BTCUSDT,SHORT,80549.66,80146.9117,80791.30898,OPEN,,
2026-05-05 07:50:37.622942,TIAUSDT,LONG,0.3682,0.370041,0.3670954,TP_HIT,0.3701,0.52
2026-05-05 07:58:09.310133,ORDIUSDT,LONG,5.063,5.088314999999999,5.047810999999999,OPEN,,
2026-05-05 08:02:04.594158,TIAUSDT,LONG,0.3687,0.37054349999999997,0.36759390000000003,OPEN,,
2026-05-05 08:03:26.889476,TIAUSDT,LONG,0.3687,0.37054349999999997,0.36759390000000003,SL_HIT,0.3666,-0.57
2026-05-05 08:10:51.784835,DOGEUSDT,SHORT,0.11122,0.1106639,0.11155365999999999,SL_HIT,0.11156,-0.31
2026-05-05 08:10:54.669581,TIAUSDT,LONG,0.3678,0.369639,0.36669660000000004,OPEN,,
2026-05-05 08:14:02.575470,DOGEUSDT,SHORT,0.1117,0.11114149999999999,0.11203509999999998,OPEN,,
2026-05-05 08:15:20.456820,TIAUSDT,LONG,0.3678,0.369639,0.36669660000000004,TP_HIT,0.3697,0.52
2026-05-05 08:20:40.698912,BTCUSDT,SHORT,80549.66,80146.9117,80791.30898,SL_HIT,80799.99,-0.31
2026-05-05 08:20:41.605634,BTCUSDT,SHORT,80799.99,80395.99005000001,81042.38996999999,OPEN,,
2026-05-05 08:23:06.636679,TIAUSDT,SHORT,0.3691,0.3672545,0.37020729999999996,OPEN,,
2026-05-05 08:27:16.727537,TIAUSDT,SHORT,0.3691,0.3672545,0.37020729999999996,SL_HIT,0.3704,-0.35
2026-05-05 08:29:15.032297,ORDIUSDT,LONG,5.063,5.088314999999999,5.047810999999999,TP_HIT,5.089,0.51
2026-05-05 08:30:17.017695,TIAUSDT,SHORT,0.3719,0.3700405,0.37301569999999995,OPEN,,
2026-05-05 08:32:22.213216,TIAUSDT,SHORT,0.3719,0.3700405,0.37301569999999995,TP_HIT,0.37,0.51
2026-05-05 08:32:22.512422,TIAUSDT,SHORT,0.3697,0.3678515,0.37080909999999995,OPEN,,
2026-05-05 08:33:49.208113,TIAUSDT,SHORT,0.3697,0.3678515,0.37080909999999995,SL_HIT,0.3709,-0.32
2026-05-05 08:36:24.658940,ETHUSDT,LONG,2369.15,2380.99575,2362.04255,TP_HIT,2383.0,0.58
2026-05-05 08:36:24.801615,ETHUSDT,LONG,2383.0,2394.915,2375.851,OPEN,,
2026-05-05 08:39:30.544384,SOLUSDT,SHORT,84.66,84.2367,84.91397999999998,SL_HIT,84.93,-0.32
2026-05-05 08:39:30.560421,BTCUSDT,SHORT,80799.99,80395.99005000001,81042.38996999999,SL_HIT,81043.11,-0.30
2026-05-05 08:39:30.648960,BTCUSDT,LONG,81048.38,81453.6219,80805.23486000001,OPEN,,
2026-05-05 08:39:30.842688,BNBUSDT,LONG,624.6,627.723,622.7262000000001,TP_HIT,627.75,0.50
2026-05-05 08:39:30.939473,BNBUSDT,LONG,627.75,630.88875,625.86675,OPEN,,
2026-05-05 08:39:57.091920,TIAUSDT,SHORT,0.3691,0.3672545,0.37020729999999996,OPEN,,
2026-05-05 08:40:07.026904,SOLUSDT,SHORT,84.82,84.3959,85.07445999999999,OPEN,,
2026-05-05 08:41:26.495936,ORDIUSDT,LONG,5.058,5.083289999999999,5.042826,OPEN,,
2026-05-05 08:43:02.591798,ORDIUSDT,LONG,5.058,5.083289999999999,5.042826,TP_HIT,5.087,0.57
2026-05-05 08:47:42.681690,ORDIUSDT,LONG,5.111,5.1365549999999995,5.095667,OPEN,,
2026-05-05 08:48:51.395147,FETUSDT,LONG,0.2097,0.21074849999999998,0.2090709,OPEN,,
2026-05-05 08:50:35.171757,ORDIUSDT,LONG,5.111,5.1365549999999995,5.095667,TP_HIT,5.138,0.53
2026-05-05 08:52:20.568356,ORDIUSDT,LONG,5.137,5.162684999999999,5.121588999999999,OPEN,,
2026-05-05 08:55:17.759974,ORDIUSDT,LONG,5.137,5.162684999999999,5.121588999999999,SL_HIT,5.121,-0.31
2026-05-05 08:57:41.853283,ORDIUSDT,SHORT,5.115,5.089425,5.130344999999999,OPEN,,
2026-05-05 09:01:05.544418,ORDIUSDT,SHORT,5.115,5.089425,5.130344999999999,TP_HIT,5.089,0.51
2026-05-05 09:01:50.334606,TIAUSDT,SHORT,0.3691,0.3672545,0.37020729999999996,TP_HIT,0.3671,0.54
2026-05-05 09:04:12.537342,ORDIUSDT,SHORT,5.118,5.09241,5.133354,OPEN,,
2026-05-05 09:05:42.133150,ORDIUSDT,SHORT,5.118,5.09241,5.133354,SL_HIT,5.135,-0.33
2026-05-05 09:05:43.223208,TIAUSDT,LONG,0.3678,0.369639,0.36669660000000004,OPEN,,
2026-05-05 09:08:51.616548,TIAUSDT,LONG,0.3678,0.369639,0.36669660000000004,SL_HIT,0.3665,-0.35
2026-05-05 09:10:27.811468,TIAUSDT,SHORT,0.3655,0.3636725,0.36659649999999994,OPEN,,
2026-05-05 09:10:49.465693,BTCUSDT,LONG,81048.38,81453.6219,80805.23486000001,SL_HIT,80805.03,-0.30
2026-05-05 09:10:49.563460,BTCUSDT,SHORT,80805.03,80401.00485,81047.44509,OPEN,,
2026-05-05 09:11:43.808483,TIAUSDT,SHORT,0.3655,0.3636725,0.36659649999999994,TP_HIT,0.3636,0.52
2026-05-05 09:12:06.908430,TIAUSDT,SHORT,0.3645,0.3626775,0.36559349999999996,OPEN,,
2026-05-05 09:13:25.411639,ORDIUSDT,LONG,5.115,5.140574999999999,5.099655,OPEN,,
2026-05-05 09:14:20.300346,TIAUSDT,SHORT,0.3645,0.3626775,0.36559349999999996,SL_HIT,0.3659,-0.38
2026-05-05 09:19:15.688175,TIAUSDT,SHORT,0.3656,0.363772,0.36669679999999993,OPEN,,
2026-05-05 09:22:16.580209,TIAUSDT,SHORT,0.3656,0.363772,0.36669679999999993,SL_HIT,0.3667,-0.30
2026-05-05 09:22:17.080365,TIAUSDT,SHORT,0.3668,0.364966,0.36790039999999996,OPEN,,
2026-05-05 09:27:57.766476,TIAUSDT,SHORT,0.3668,0.364966,0.36790039999999996,SL_HIT,0.368,-0.33
2026-05-05 09:31:27.164141,ORDIUSDT,LONG,5.115,5.140574999999999,5.099655,SL_HIT,5.099,-0.31
2026-05-05 09:32:21.161333,ORDIUSDT,SHORT,5.097,5.071515000000001,5.112291,OPEN,,
2026-05-05 09:33:31.458664,ORDIUSDT,SHORT,5.097,5.071515000000001,5.112291,TP_HIT,5.07,0.53
2026-05-05 09:35:39.452610,ORDIUSDT,SHORT,5.095,5.069525,5.110284999999999,OPEN,,
2026-05-05 09:46:27.342370,FETUSDT,LONG,0.2097,0.21074849999999998,0.2090709,SL_HIT,0.209,-0.33
2026-05-05 09:50:13.126679,TIAUSDT,SHORT,0.3656,0.363772,0.36669679999999993,OPEN,,
2026-05-05 09:50:22.812838,ORDIUSDT,SHORT,5.095,5.069525,5.110284999999999,SL_HIT,5.112,-0.33
2026-05-05 09:55:07.292639,TIAUSDT,SHORT,0.3656,0.363772,0.36669679999999993,TP_HIT,0.3635,0.57
2026-05-05 10:01:04.024987,BNBUSDT,LONG,627.75,630.88875,625.86675,SL_HIT,625.86,-0.30
2026-05-05 10:01:04.122398,BNBUSDT,SHORT,625.86,622.7307,627.73758,OPEN,,
2026-05-05 10:08:03.859280,TIAUSDT,SHORT,0.3643,0.36247850000000004,0.36539289999999996,OPEN,,
2026-05-05 10:18:31.223734,TIAUSDT,SHORT,0.3643,0.36247850000000004,0.36539289999999996,TP_HIT,0.3623,0.55
2026-05-05 10:24:24.754542,BTCUSDT,SHORT,80805.03,80401.00485,81047.44509,SL_HIT,81049.01,-0.30
2026-05-05 10:24:25.553457,BTCUSDT,LONG,81049.99,81455.23995,80806.84003,OPEN,,
2026-05-05 10:24:51.573796,ORDIUSDT,LONG,5.121,5.146605,5.105637000000001,OPEN,,
2026-05-05 10:25:03.143130,BNBUSDT,SHORT,625.86,622.7307,627.73758,SL_HIT,627.79,-0.31
2026-05-05 10:25:04.242901,BNBUSDT,SHORT,627.79,624.6510499999999,629.6733699999999,OPEN,,
2026-05-05 10:39:26.994609,SOLUSDT,SHORT,84.82,84.3959,85.07445999999999,SL_HIT,85.08,-0.31
2026-05-05 10:40:07.965263,ORDIUSDT,LONG,5.121,5.146605,5.105637000000001,SL_HIT,5.105,-0.31
2026-05-05 10:40:20.165491,ORDIUSDT,LONG,5.113,5.138565,5.097661,OPEN,,
2026-05-05 10:47:48.792110,SOLUSDT,SHORT,84.88,84.45559999999999,85.13463999999999,OPEN,,
2026-05-05 10:57:21.311753,TIAUSDT,SHORT,0.3634,0.361583,0.3644902,OPEN,,
2026-05-05 11:13:44.576367,ORDIUSDT,LONG,5.113,5.138565,5.097661,SL_HIT,5.097,-0.31
2026-05-05 11:16:56.426047,ETHUSDT,LONG,2383.0,2394.915,2375.851,SL_HIT,2375.84,-0.30
2026-05-05 11:16:56.514582,ETHUSDT,SHORT,2375.84,2363.9608000000003,2382.9675199999997,OPEN,,
2026-05-05 11:22:30.879460,TIAUSDT,SHORT,0.3634,0.361583,0.3644902,TP_HIT,0.3614,0.55
2026-05-05 11:28:16.328902,TIAUSDT,SHORT,0.3627,0.3608865,0.3637881,OPEN,,
2026-05-05 11:29:32.333526,ORDIUSDT,LONG,5.074,5.0993699999999995,5.058778,OPEN,,
2026-05-05 11:31:33.375932,BTCUSDT,LONG,81049.99,81455.23995,80806.84003,SL_HIT,80802.41,-0.31
2026-05-05 11:31:34.775127,BTCUSDT,LONG,80802.41,81206.42205,80560.00277,OPEN,,
2026-05-05 11:35:50.509726,TIAUSDT,SHORT,0.3627,0.3608865,0.3637881,SL_HIT,0.3638,-0.30
2026-05-05 11:54:18.961566,TIAUSDT,SHORT,0.3628,0.36098600000000003,0.36388839999999995,OPEN,,
2026-05-05 12:00:47.251744,ORDIUSDT,LONG,5.074,5.0993699999999995,5.058778,SL_HIT,5.058,-0.32
2026-05-05 12:01:13.650158,ORDIUSDT,SHORT,5.062,5.03669,5.077185999999999,OPEN,,
2026-05-05 12:08:30.331258,ORDIUSDT,SHORT,5.062,5.03669,5.077185999999999,SL_HIT,5.083,-0.41
2026-05-05 12:16:33.301532,TIAUSDT,SHORT,0.3628,0.36098600000000003,0.36388839999999995,SL_HIT,0.3641,-0.36
2026-05-05 12:22:14.659046,ETHUSDT,SHORT,2375.84,2363.9608000000003,2382.9675199999997,SL_HIT,2383.61,-0.33
2026-05-05 12:22:17.641878,ETHUSDT,SHORT,2383.33,2371.41335,2390.47999,OPEN,,
2026-05-05 12:27:01.482509,ORDIUSDT,LONG,5.091,5.116454999999999,5.0757270000000005,OPEN,,
2026-05-05 12:32:58.858271,TIAUSDT,LONG,0.3699,0.37174949999999995,0.3687903,OPEN,,
2026-05-05 12:33:55.563951,ORDIUSDT,LONG,5.091,5.116454999999999,5.0757270000000005,TP_HIT,5.117,0.51
2026-05-05 12:35:56.358845,ORDIUSDT,LONG,5.114,5.139569999999999,5.0986579999999995,OPEN,,
2026-05-05 12:37:55.145536,TIAUSDT,LONG,0.3699,0.37174949999999995,0.3687903,SL_HIT,0.3687,-0.32
2026-05-05 12:42:16.141867,ORDIUSDT,LONG,5.114,5.139569999999999,5.0986579999999995,SL_HIT,5.098,-0.31
2026-05-05 12:53:30.704497,TIAUSDT,LONG,0.3692,0.37104599999999993,0.3680924,OPEN,,
2026-05-05 12:57:01.695867,TIAUSDT,LONG,0.3692,0.37104599999999993,0.3680924,SL_HIT,0.3679,-0.35
2026-05-05 13:02:26.688990,ORDIUSDT,LONG,5.05,5.07525,5.03485,OPEN,,
2026-05-05 13:03:33.385660,ORDIUSDT,LONG,5.05,5.07525,5.03485,SL_HIT,5.031,-0.38
2026-05-05 13:03:34.886241,ORDIUSDT,SHORT,4.941,4.916295,4.955823,OPEN,,
2026-05-05 13:03:35.084436,ORDIUSDT,SHORT,4.941,4.916295,4.955823,SL_HIT,4.965,-0.49
2026-05-05 13:03:35.284618,ORDIUSDT,LONG,4.968,4.992839999999999,4.953096,OPEN,,
2026-05-05 13:03:35.484728,ORDIUSDT,LONG,4.968,4.992839999999999,4.953096,SL_HIT,4.942,-0.52
2026-05-05 13:03:35.986059,ORDIUSDT,LONG,4.941,4.965704999999999,4.926177,OPEN,,
2026-05-05 13:03:40.785417,ORDIUSDT,LONG,4.941,4.965704999999999,4.926177,TP_HIT,4.967,0.53
2026-05-05 13:03:41.284219,ORDIUSDT,LONG,4.96,4.984799999999999,4.94512,OPEN,,
2026-05-05 13:04:01.784595,ORDIUSDT,LONG,4.96,4.984799999999999,4.94512,TP_HIT,4.985,0.50
2026-05-05 13:04:27.883165,ORDIUSDT,LONG,4.976,5.0008799999999995,4.961072,OPEN,,
2026-05-05 13:05:19.380696,ORDIUSDT,LONG,4.976,5.0008799999999995,4.961072,SL_HIT,4.961,-0.30
2026-05-05 13:05:23.180449,ORDIUSDT,LONG,4.967,4.991834999999999,4.952099,OPEN,,
2026-05-05 13:09:10.471243,ORDIUSDT,LONG,4.967,4.991834999999999,4.952099,TP_HIT,4.992,0.50
2026-05-05 13:09:14.170227,ORDIUSDT,LONG,4.99,5.01495,4.97503,OPEN,,
2026-05-05 13:26:34.815720,TIAUSDT,SHORT,0.3688,0.366956,0.36990639999999997,OPEN,,
2026-05-05 13:26:59.823748,ORDIUSDT,LONG,4.99,5.01495,4.97503,TP_HIT,5.022,0.64
2026-05-05 13:31:44.012088,ORDIUSDT,LONG,5.011,5.036054999999999,4.995967,OPEN,,
2026-05-05 13:37:09.996066,ORDIUSDT,LONG,5.011,5.036054999999999,4.995967,TP_HIT,5.037,0.52
2026-05-05 13:43:08.380836,ORDIUSDT,SHORT,5.038,5.01281,5.053114,OPEN,,
2026-05-05 14:09:13.003568,TIAUSDT,SHORT,0.3688,0.366956,0.36990639999999997,SL_HIT,0.37,-0.33
2026-05-05 14:13:20.748082,ETHUSDT,SHORT,2383.33,2371.41335,2390.47999,TP_HIT,2371.0,0.52
2026-05-05 14:13:21.246526,ETHUSDT,SHORT,2370.66,2358.8066999999996,2377.7719799999995,OPEN,,
2026-05-05 14:14:33.289819,TIAUSDT,LONG,0.3714,0.37325699999999995,0.3702858,OPEN,,
2026-05-05 14:20:12.174945,TIAUSDT,LONG,0.3714,0.37325699999999995,0.3702858,SL_HIT,0.3702,-0.32
2026-05-05 14:21:48.584065,DOGEUSDT,SHORT,0.1117,0.11114149999999999,0.11203509999999998,TP_HIT,0.11114,0.50
2026-05-05 14:21:59.390370,DOGEUSDT,SHORT,0.11112,0.1105644,0.11145335999999999,OPEN,,
2026-05-05 14:26:03.967430,ORDIUSDT,SHORT,5.038,5.01281,5.053114,SL_HIT,5.054,-0.32
2026-05-05 14:26:33.465529,ORDIUSDT,LONG,5.05,5.07525,5.03485,OPEN,,
2026-05-05 14:29:11.958784,ORDIUSDT,LONG,5.05,5.07525,5.03485,TP_HIT,5.076,0.51
2026-05-05 14:29:45.757363,ORDIUSDT,LONG,5.091,5.116454999999999,5.0757270000000005,OPEN,,
2026-05-05 14:31:01.352799,ORDIUSDT,LONG,5.091,5.116454999999999,5.0757270000000005,TP_HIT,5.117,0.51
2026-05-05 14:31:20.153251,ORDIUSDT,LONG,5.109,5.134544999999999,5.093673,OPEN,,
2026-05-05 14:31:53.743706,TIAUSDT,LONG,0.3714,0.37325699999999995,0.3702858,OPEN,,
2026-05-05 14:32:58.848773,ORDIUSDT,LONG,5.109,5.134544999999999,5.093673,SL_HIT,5.092,-0.33
2026-05-05 14:32:58.947434,ORDIUSDT,LONG,5.092,5.1174599999999995,5.076724,OPEN,,
2026-05-05 14:37:17.274093,TIAUSDT,LONG,0.3714,0.37325699999999995,0.3702858,SL_HIT,0.3702,-0.32
2026-05-05 14:38:05.511759,SOLUSDT,SHORT,84.88,84.45559999999999,85.13463999999999,TP_HIT,84.45,0.51
2026-05-05 14:41:11.427358,ORDIUSDT,LONG,5.092,5.1174599999999995,5.076724,SL_HIT,5.076,-0.31
2026-05-05 14:44:00.219619,ORDIUSDT,LONG,5.073,5.098365,5.057781,OPEN,,
2026-05-05 14:49:11.505546,ORDIUSDT,LONG,5.073,5.098365,5.057781,SL_HIT,5.056,-0.34
2026-05-05 14:51:03.147337,BTCUSDT,LONG,80802.41,81206.42205,80560.00277,SL_HIT,80560.0,-0.30
2026-05-05 14:51:31.945977,BTCUSDT,LONG,80560.01,80962.81004999999,80318.32996999999,OPEN,,
