Time,Symbol,Side,Entry,Target,Stop,Status,Exit,PNL%
2026-05-08 21:41:53.108679,ETHUSDT,SHORT,2287.36,2275.9232,2294.22208,OPEN,,
2026-05-08 21:42:01.955009,ORDIUSDT,LONG,5.371,5.397855,5.354887000000001,OPEN,,
2026-05-08 21:42:02.950240,TIAUSDT,SHORT,0.4416,0.439392,0.44292479999999995,OPEN,,
2026-05-08 21:43:05.752914,TIAUSDT,SHORT,0.4416,0.439392,0.44292479999999995,SL_HIT,0.443,-0.32
2026-05-08 21:43:27.109468,XRPUSDT,LONG,1.3949,1.4018745,1.3907153,OPEN,,
2026-05-08 21:44:01.450410,TIAUSDT,SHORT,0.442,0.43979,0.44332599999999994,OPEN,,
2026-05-08 21:44:05.480269,DOGEUSDT,SHORT,0.10746,0.1069227,0.10778237999999998,OPEN,,
2026-05-08 21:44:30.949581,TIAUSDT,SHORT,0.442,0.43979,0.44332599999999994,SL_HIT,0.4434,-0.32
2026-05-08 21:45:29.946409,TIAUSDT,LONG,0.4425,0.44471249999999996,0.4411725,OPEN,,
2026-05-08 21:46:30.343127,TIAUSDT,LONG,0.4425,0.44471249999999996,0.4411725,TP_HIT,0.4449,0.54
2026-05-08 21:46:42.643275,TIAUSDT,LONG,0.4442,0.44642099999999996,0.44286739999999997,OPEN,,
2026-05-08 21:47:02.143057,TIAUSDT,LONG,0.4442,0.44642099999999996,0.44286739999999997,SL_HIT,0.4428,-0.32
2026-05-08 21:47:17.543456,TIAUSDT,LONG,0.4425,0.44471249999999996,0.4411725,OPEN,,
2026-05-08 21:47:44.840365,TIAUSDT,LONG,0.4425,0.44471249999999996,0.4411725,SL_HIT,0.4411,-0.32
2026-05-08 21:47:48.740457,TIAUSDT,SHORT,0.4409,0.4386955,0.44222269999999997,OPEN,,
2026-05-08 21:48:02.639748,TIAUSDT,SHORT,0.4409,0.4386955,0.44222269999999997,SL_HIT,0.4423,-0.32
2026-05-08 21:48:02.940625,TIAUSDT,SHORT,0.4423,0.44008850000000005,0.4436269,OPEN,,
2026-05-08 21:49:02.037906,TIAUSDT,SHORT,0.4423,0.44008850000000005,0.4436269,TP_HIT,0.4397,0.59
2026-05-08 21:50:03.342302,ORDIUSDT,LONG,5.371,5.397855,5.354887000000001,SL_HIT,5.354,-0.32
2026-05-08 21:50:03.842226,ORDIUSDT,LONG,5.354,5.380769999999999,5.337938,OPEN,,
2026-05-08 21:51:08.539459,ORDIUSDT,LONG,5.354,5.380769999999999,5.337938,SL_HIT,5.337,-0.32
2026-05-08 21:51:09.639385,ORDIUSDT,LONG,5.337,5.363684999999999,5.320989,OPEN,,
2026-05-08 21:51:30.931068,TIAUSDT,LONG,0.4376,0.43978799999999996,0.4362872,OPEN,,
2026-05-08 21:54:06.109249,FLOKIUSDT,LONG,3.693e-05,3.7114649999999995e-05,3.681921e-05,OPEN,,
2026-05-08 21:55:02.821361,TIAUSDT,LONG,0.4376,0.43978799999999996,0.4362872,SL_HIT,0.4362,-0.32
2026-05-08 21:55:32.421320,TIAUSDT,SHORT,0.4345,0.4323275,0.43580349999999995,OPEN,,
2026-05-08 21:56:00.218810,TIAUSDT,SHORT,0.4345,0.4323275,0.43580349999999995,SL_HIT,0.436,-0.35
2026-05-08 21:58:00.013549,TIAUSDT,LONG,0.4354,0.43757699999999994,0.43409380000000003,OPEN,,
2026-05-08 21:58:01.213862,TIAUSDT,LONG,0.4354,0.43757699999999994,0.43409380000000003,SL_HIT,0.434,-0.32
2026-05-08 21:58:01.313222,TIAUSDT,LONG,0.434,0.43616999999999995,0.43269799999999997,OPEN,,
2026-05-08 22:01:47.503542,TIAUSDT,LONG,0.434,0.43616999999999995,0.43269799999999997,SL_HIT,0.4326,-0.32
2026-05-08 22:01:47.603347,TIAUSDT,LONG,0.4324,0.43456199999999995,0.4311028,OPEN,,
