Time,Symbol,Side,Entry,Target,Stop,Status,Exit,PNL%
2026-05-09 22:39:50.939222,ETHUSDT,SHORT,2331.37,2319.71315,2338.3641099999995,OPEN,,
2026-05-09 22:40:00.140770,XRPUSDT,SHORT,1.4228,1.415686,1.4270684,OPEN,,
2026-05-09 22:41:40.488304,ORDIUSDT,LONG,5.578,5.60589,5.561266000000001,OPEN,,
2026-05-09 22:42:26.992576,DOGEUSDT,LONG,0.10956,0.11010779999999999,0.10923132,OPEN,,
2026-05-09 22:43:43.274700,TIAUSDT,LONG,0.4386,0.44079299999999993,0.4372842,OPEN,,
2026-05-09 22:47:31.065176,TIAUSDT,LONG,0.4386,0.44079299999999993,0.4372842,SL_HIT,0.4371,-0.34
2026-05-09 22:48:49.669916,ORDIUSDT,LONG,5.578,5.60589,5.561266000000001,SL_HIT,5.559,-0.34
2026-05-09 22:48:54.774171,ORDIUSDT,SHORT,5.556,5.52822,5.572667999999999,OPEN,,
2026-05-09 22:54:04.959046,ORDIUSDT,SHORT,5.556,5.52822,5.572667999999999,TP_HIT,5.528,0.50
2026-05-09 22:57:20.480771,TIAUSDT,LONG,0.4358,0.43797899999999995,0.4344926,OPEN,,
2026-05-09 22:58:02.046690,ORDIUSDT,LONG,5.527,5.554634999999999,5.510419,OPEN,,
2026-05-09 23:02:08.228271,TIAUSDT,LONG,0.4358,0.43797899999999995,0.4344926,TP_HIT,0.438,0.50
2026-05-09 23:09:17.709906,TIAUSDT,LONG,0.4387,0.44089349999999994,0.4373839,OPEN,,
2026-05-09 23:19:15.292251,ORDIUSDT,LONG,5.527,5.554634999999999,5.510419,TP_HIT,5.557,0.54
2026-05-09 23:20:48.588861,ORDIUSDT,LONG,5.539,5.566694999999999,5.522383,OPEN,,
2026-05-09 23:26:20.374627,ORDIUSDT,LONG,5.539,5.566694999999999,5.522383,TP_HIT,5.567,0.51
2026-05-09 23:26:26.836681,ORDIUSDT,SHORT,5.571,5.543145,5.587712999999999,OPEN,,
2026-05-09 23:40:25.830717,TIAUSDT,LONG,0.4387,0.44089349999999994,0.4373839,TP_HIT,0.441,0.52
2026-05-09 23:40:55.629998,TIAUSDT,SHORT,0.441,0.438795,0.44232299999999997,OPEN,,
2026-05-09 23:42:11.234513,ORDIUSDT,SHORT,5.571,5.543145,5.587712999999999,SL_HIT,5.589,-0.32
2026-05-09 23:42:18.234519,ORDIUSDT,LONG,5.588,5.615939999999999,5.571236,OPEN,,
2026-05-09 23:48:16.219067,ORDIUSDT,LONG,5.588,5.615939999999999,5.571236,TP_HIT,5.617,0.52
2026-05-09 23:49:16.416585,ORDIUSDT,LONG,5.611,5.639054999999999,5.594167,OPEN,,
2026-05-09 23:54:37.104845,ORDIUSDT,LONG,5.611,5.639054999999999,5.594167,SL_HIT,5.594,-0.30
2026-05-09 23:56:01.699776,ORDIUSDT,LONG,5.588,5.615939999999999,5.571236,OPEN,,
2026-05-10 00:00:10.190112,ORDIUSDT,LONG,5.588,5.615939999999999,5.571236,TP_HIT,5.616,0.50
2026-05-10 00:00:12.989282,ORDIUSDT,SHORT,5.62,5.5919,5.6368599999999995,OPEN,,
2026-05-10 00:08:09.769302,ORDIUSDT,SHORT,5.62,5.5919,5.6368599999999995,SL_HIT,5.638,-0.32
2026-05-10 00:08:12.269181,ORDIUSDT,SHORT,5.637,5.608815,5.653910999999999,OPEN,,
2026-05-10 00:16:53.347332,ORDIUSDT,SHORT,5.637,5.608815,5.653910999999999,TP_HIT,5.608,0.51
2026-05-10 00:18:11.343423,ORDIUSDT,SHORT,5.619,5.590904999999999,5.635856999999999,OPEN,,
2026-05-10 00:21:24.435755,ORDIUSDT,SHORT,5.619,5.590904999999999,5.635856999999999,SL_HIT,5.636,-0.30
2026-05-10 00:21:46.434418,ORDIUSDT,LONG,5.632,5.660159999999999,5.615104,OPEN,,
2026-05-10 00:24:24.728331,ORDIUSDT,LONG,5.632,5.660159999999999,5.615104,TP_HIT,5.664,0.57
2026-05-10 00:24:32.319499,TIAUSDT,SHORT,0.441,0.438795,0.44232299999999997,TP_HIT,0.4387,0.52
2026-05-10 00:24:49.627009,ORDIUSDT,LONG,5.66,5.6883,5.64302,OPEN,,
2026-05-10 00:25:58.124017,ORDIUSDT,LONG,5.66,5.6883,5.64302,SL_HIT,5.643,-0.30
2026-05-10 00:26:12.023847,ORDIUSDT,SHORT,5.643,5.6147849999999995,5.659928999999999,OPEN,,
2026-05-10 00:30:10.905417,TIAUSDT,SHORT,0.4392,0.437004,0.44051759999999995,OPEN,,
2026-05-10 00:35:36.399955,ORDIUSDT,SHORT,5.643,5.6147849999999995,5.659928999999999,SL_HIT,5.66,-0.30
2026-05-10 00:35:53.800419,ORDIUSDT,SHORT,5.659,5.630705,5.675977,OPEN,,
2026-05-10 00:40:17.879963,TIAUSDT,SHORT,0.4392,0.437004,0.44051759999999995,SL_HIT,0.4406,-0.32
2026-05-10 00:50:52.661816,ORDIUSDT,SHORT,5.659,5.630705,5.675977,SL_HIT,5.676,-0.30
2026-05-10 00:52:05.058291,ORDIUSDT,LONG,5.669,5.6973449999999985,5.651992999999999,OPEN,,
2026-05-10 00:54:47.651301,ORDIUSDT,LONG,5.669,5.6973449999999985,5.651992999999999,SL_HIT,5.651,-0.32
2026-05-10 00:55:05.650142,ORDIUSDT,SHORT,5.645,5.616775,5.661934999999999,OPEN,,
2026-05-10 01:00:07.238155,ORDIUSDT,SHORT,5.645,5.616775,5.661934999999999,SL_HIT,5.662,-0.30
2026-05-10 01:00:09.037996,ORDIUSDT,LONG,5.66,5.6883,5.64302,OPEN,,
2026-05-10 01:01:48.612178,FLOKIUSDT,LONG,3.62e-05,3.6380999999999996e-05,3.60914e-05,OPEN,,
2026-05-10 01:02:18.733493,ORDIUSDT,LONG,5.66,5.6883,5.64302,SL_HIT,5.643,-0.30
2026-05-10 01:02:26.232420,ORDIUSDT,LONG,5.639,5.6671949999999995,5.622083,OPEN,,
2026-05-10 01:04:02.928258,ORDIUSDT,LONG,5.639,5.6671949999999995,5.622083,SL_HIT,5.622,-0.30
2026-05-10 01:04:03.128234,ORDIUSDT,LONG,5.623,5.651115,5.606131,OPEN,,
2026-05-10 01:04:32.519085,TIAUSDT,LONG,0.4405,0.44270249999999994,0.4391785,OPEN,,
2026-05-10 01:13:38.896194,TIAUSDT,LONG,0.4405,0.44270249999999994,0.4391785,TP_HIT,0.4431,0.59
2026-05-10 01:14:04.795149,TIAUSDT,LONG,0.4432,0.4454159999999999,0.4418704,OPEN,,
2026-05-10 01:18:58.582276,TIAUSDT,LONG,0.4432,0.4454159999999999,0.4418704,SL_HIT,0.4418,-0.32
2026-05-10 01:31:02.959517,ORDIUSDT,LONG,5.623,5.651115,5.606131,TP_HIT,5.652,0.52
2026-05-10 01:31:59.457676,ORDIUSDT,LONG,5.646,5.67423,5.629062,OPEN,,
2026-05-10 01:33:03.154841,ORDIUSDT,LONG,5.646,5.67423,5.629062,TP_HIT,5.675,0.51
2026-05-10 01:34:11.966360,FLOKIUSDT,LONG,3.62e-05,3.6380999999999996e-05,3.60914e-05,SL_HIT,3.609e-05,-0.30
2026-05-10 01:35:07.449535,ORDIUSDT,SHORT,5.675,5.646625,5.692024999999999,OPEN,,
2026-05-10 01:35:42.740544,TIAUSDT,SHORT,0.4407,0.43849649999999996,0.4420220999999999,OPEN,,
2026-05-10 01:36:16.346284,ORDIUSDT,SHORT,5.675,5.646625,5.692024999999999,SL_HIT,5.695,-0.35
2026-05-10 01:36:55.446572,ORDIUSDT,LONG,5.687,5.715434999999999,5.669939,OPEN,,
2026-05-10 01:41:03.634934,ORDIUSDT,LONG,5.687,5.715434999999999,5.669939,TP_HIT,5.717,0.53
2026-05-10 01:41:17.534881,ORDIUSDT,SHORT,5.725,5.696375,5.742174999999999,OPEN,,
2026-05-10 01:43:46.919596,TIAUSDT,SHORT,0.4407,0.43849649999999996,0.4420220999999999,SL_HIT,0.4421,-0.32
2026-05-10 01:44:49.324879,ORDIUSDT,SHORT,5.725,5.696375,5.742174999999999,TP_HIT,5.695,0.52
2026-05-10 01:45:03.124722,ORDIUSDT,LONG,5.701,5.729504999999999,5.683897,OPEN,,
