Time,Symbol,Side,Entry,Target,Stop,Status,Exit,PNL%
2026-05-07 06:26:11.615273,ETHUSDT,LONG,2327.35,2338.9867499999996,2320.36795,OPEN,,
2026-05-07 06:26:48.619978,ETHUSDT,SHORT,2328.11,2316.46945,2335.09433,OPEN,,
2026-05-07 06:28:03.569841,ORDIUSDT,LONG,5.335,5.361674999999999,5.318995,OPEN,,
2026-05-07 06:29:16.116528,XRPUSDT,LONG,1.4172,1.424286,1.4129484,OPEN,,
2026-05-07 06:33:38.259655,DOGEUSDT,SHORT,0.11132,0.1107634,0.11165396,OPEN,,
2026-05-07 06:33:55.752761,ORDIUSDT,LONG,5.335,5.361674999999999,5.318995,SL_HIT,5.311,-0.45
2026-05-07 06:34:37.151451,ORDIUSDT,LONG,5.296,5.32248,5.280112,OPEN,,
2026-05-07 06:38:26.240858,ORDIUSDT,LONG,5.296,5.32248,5.280112,TP_HIT,5.323,0.51
2026-05-07 06:39:57.328873,TIAUSDT,SHORT,0.3771,0.3752145,0.37823129999999994,OPEN,,
2026-05-07 06:40:24.371519,ORDIUSDT,LONG,5.324,5.350619999999999,5.308028,OPEN,,
2026-05-07 06:52:02.405605,ORDIUSDT,LONG,5.324,5.350619999999999,5.308028,SL_HIT,5.308,-0.30
2026-05-07 06:52:02.504612,ORDIUSDT,LONG,5.308,5.33454,5.292076,OPEN,,
2026-05-07 06:55:50.894762,ORDIUSDT,LONG,5.308,5.33454,5.292076,SL_HIT,5.292,-0.30
2026-05-07 06:58:36.486792,ORDIUSDT,LONG,5.295,5.3214749999999995,5.279115,OPEN,,
2026-05-07 07:00:18.382227,ORDIUSDT,LONG,5.295,5.3214749999999995,5.279115,TP_HIT,5.324,0.55
2026-05-07 07:00:18.581825,ORDIUSDT,SHORT,5.324,5.2973799999999995,5.3399719999999995,OPEN,,
2026-05-07 07:06:07.966417,ORDIUSDT,SHORT,5.324,5.2973799999999995,5.3399719999999995,TP_HIT,5.297,0.51
2026-05-07 07:06:10.759376,TIAUSDT,SHORT,0.3771,0.3752145,0.37823129999999994,TP_HIT,0.3752,0.50
2026-05-07 07:06:11.073940,DOGEUSDT,SHORT,0.11132,0.1107634,0.11165396,TP_HIT,0.11076,0.50
2026-05-07 07:06:23.067427,ORDIUSDT,SHORT,5.296,5.26952,5.311888,OPEN,,
2026-05-07 07:06:23.615983,XRPUSDT,LONG,1.4172,1.424286,1.4129484,SL_HIT,1.4129,-0.30
2026-05-07 07:06:23.714726,XRPUSDT,SHORT,1.4129,1.4058355,1.4171387,OPEN,,
2026-05-07 07:06:58.870604,DOGEUSDT,SHORT,0.11086,0.1103057,0.11119257999999999,OPEN,,
2026-05-07 07:12:02.750726,ORDIUSDT,SHORT,5.296,5.26952,5.311888,TP_HIT,5.265,0.59
2026-05-07 07:12:10.650879,ORDIUSDT,LONG,5.267,5.293335,5.251199000000001,OPEN,,
2026-05-07 07:13:42.793999,ETHUSDT,SHORT,2328.11,2316.46945,2335.09433,TP_HIT,2316.43,0.50
2026-05-07 07:13:42.895522,ETHUSDT,SHORT,2316.3,2304.7185,2323.2489,OPEN,,
2026-05-07 07:17:43.035189,ORDIUSDT,LONG,5.267,5.293335,5.251199000000001,TP_HIT,5.294,0.51
2026-05-07 07:17:53.134463,ORDIUSDT,LONG,5.297,5.323484999999999,5.281109,OPEN,,
2026-05-07 07:21:09.018044,TIAUSDT,SHORT,0.375,0.373125,0.37612499999999993,OPEN,,
2026-05-07 07:22:07.323418,ORDIUSDT,LONG,5.297,5.323484999999999,5.281109,SL_HIT,5.281,-0.30
2026-05-07 07:24:55.415702,ORDIUSDT,SHORT,5.277,5.250615,5.292831,OPEN,,
2026-05-07 07:30:34.693545,TIAUSDT,SHORT,0.375,0.373125,0.37612499999999993,TP_HIT,0.3731,0.51
2026-05-07 07:30:38.992782,TIAUSDT,SHORT,0.3733,0.3714335,0.37441989999999997,OPEN,,
2026-05-07 07:30:54.033546,DOGEUSDT,SHORT,0.11086,0.1103057,0.11119257999999999,TP_HIT,0.11015,0.64
2026-05-07 15:51:36.845101,TIAUSDT,SHORT,0.3733,0.3714335,0.37441989999999997,SL_HIT,0.3841,-2.89
2026-05-07 15:51:36.853162,ORDIUSDT,SHORT,5.277,5.250615,5.292831,TP_HIT,5.211,1.25
2026-05-07 15:51:36.901030,ETHUSDT,SHORT,2316.3,2304.7185,2323.2489,SL_HIT,2327.06,-0.46
2026-05-07 15:51:39.301421,ETHUSDT,LONG,2327.06,2338.6953,2320.0788199999997,OPEN,,
2026-05-07 15:56:20.140956,ORDIUSDT,SHORT,5.211,5.184945,5.226633,OPEN,,
2026-05-07 16:02:45.029937,DOGEUSDT,LONG,0.11098,0.11153489999999998,0.11064705999999999,OPEN,,
2026-05-07 16:03:36.214573,TIAUSDT,LONG,0.3853,0.3872264999999999,0.3841441,OPEN,,
2026-05-07 16:04:25.118414,ORDIUSDT,SHORT,5.211,5.184945,5.226633,SL_HIT,5.227,-0.31
2026-05-07 16:04:59.910607,TIAUSDT,LONG,0.3853,0.3872264999999999,0.3841441,TP_HIT,0.3874,0.55
2026-05-07 16:05:24.916233,ORDIUSDT,SHORT,5.226,5.19987,5.241677999999999,OPEN,,
2026-05-07 16:06:17.306013,TIAUSDT,LONG,0.3873,0.38923649999999993,0.3861381,OPEN,,
2026-05-07 16:07:13.944331,TIAUSDT,LONG,0.3873,0.38923649999999993,0.3861381,SL_HIT,0.3861,-0.31
2026-05-07 16:18:57.072232,TIAUSDT,LONG,0.3868,0.3887339999999999,0.38563959999999997,OPEN,,
2026-05-07 16:20:01.469309,TIAUSDT,LONG,0.3868,0.3887339999999999,0.38563959999999997,SL_HIT,0.3856,-0.31
2026-05-07 16:24:42.457073,TIAUSDT,LONG,0.3872,0.3891359999999999,0.3860384,OPEN,,
2026-05-07 16:27:00.350930,TIAUSDT,LONG,0.3872,0.3891359999999999,0.3860384,SL_HIT,0.386,-0.31
2026-05-07 16:40:25.313525,TIAUSDT,LONG,0.3879,0.3898395,0.38673630000000003,OPEN,,
2026-05-07 16:45:03.585977,FLOKIUSDT,SHORT,3.518e-05,3.50041e-05,3.5285539999999996e-05,OPEN,,
2026-05-07 16:49:25.990672,TIAUSDT,LONG,0.3879,0.3898395,0.38673630000000003,SL_HIT,0.3867,-0.31
2026-05-07 16:49:49.596690,ORDIUSDT,SHORT,5.226,5.19987,5.241677999999999,TP_HIT,5.199,0.52
2026-05-07 16:50:07.586272,TIAUSDT,SHORT,0.3854,0.383473,0.38655619999999996,OPEN,,
2026-05-07 17:02:15.139763,FLOKIUSDT,SHORT,3.518e-05,3.50041e-05,3.5285539999999996e-05,SL_HIT,3.529e-05,-0.31
2026-05-07 17:02:26.360696,ORDIUSDT,SHORT,5.223,5.196885,5.238668999999999,OPEN,,
